"driverref","avg_position"
"martin",16.5000000000000000
"marr",16.5000000000000000
"blokdyk",16.5000000000000000
"alliot",16.5478260869565217
"piotti",16.5555555555555556
"donnelly",16.6000000000000000
"fairman",16.6153846153846154
"stevens",16.6315789473684211
"banks",16.6666666666666667
"lederle",16.6666666666666667
"bruni",16.6666666666666667
"hartley",16.6666666666666667
"deletraz",16.6666666666666667
"beretta",16.7000000000000000
"lovely",16.7272727272727273
"ward",16.7500000000000000
"connor",16.8000000000000000
"capelli",16.8163265306122449
"boyd",16.8333333333333333
"rothengatter",16.9285714285714286
"macklin",16.9333333333333333
"mantz",17.0000000000000000
"krause",17.0000000000000000
"markus_winkelhock",17.0000000000000000
"rolt",17.0000000000000000
"homeier",17.0000000000000000
"abecassis",17.0000000000000000
"palm",17.0000000000000000
"parker",17.0000000000000000
"cordts",17.0000000000000000
"crawford",17.0000000000000000
"foyt",17.0000000000000000
"balsa",17.0000000000000000
"hansgen",17.0000000000000000
"unser",17.0000000000000000
"whitehouse",17.0000000000000000
"rooyen",17.0000000000000000
"davis",17.0000000000000000
"thomson",17.1111111111111111
"jules_bianchi",17.1176470588235294
"hirt",17.2000000000000000
"sala",17.2187500000000000
"ide",17.2500000000000000
"murray",17.2500000000000000
"modena",17.2716049382716049
"jabouille",17.2727272727272727
"papis",17.2857142857142857
"hahne",17.3333333333333333
"burgess",17.3846153846153846
"pesenti_rossi",17.5000000000000000
"birger",17.5000000000000000
"louveau",17.5000000000000000
"lavaggi",17.5000000000000000
"pirro",17.5000000000000000
"walker",17.5454545454545455
"borgudd",17.6000000000000000
"helfrich",17.6666666666666667
"schindler",17.6666666666666667
"chilton",17.6857142857142857
"galli",17.7058823529411765
"giacomelli",17.7073170731707317
"barth",17.7142857142857143
"mcalpine",17.7142857142857143
"inoue",17.7222222222222222
"daigh",17.8333333333333333
"mazepin",17.8636363636363636
"manfred_winkelhock",17.8727272727272727
"ruttman",17.8888888888888889
"schuppan",17.9166666666666667
"biondetti",18.0000000000000000
"hocking",18.0000000000000000
"morgan",18.0000000000000000
"said",18.0000000000000000
"templeman",18.0000000000000000
"tolan",18.0000000000000000
"tom_jones",18.0000000000000000
"kavanagh",18.0000000000000000
"pietro_fittipaldi",18.0000000000000000
"picard",18.0000000000000000
"hurtubise",18.0000000000000000
"pieterse",18.0000000000000000
"settember",18.0000000000000000
"stevenson",18.0000000000000000
"garde",18.0526315789473684
"migault",18.0666666666666667
"pic",18.0769230769230769
"danner",18.1276595744680851
"chandhok",18.1818181818181818
"evans",18.2500000000000000
"rebaque",18.3103448275862069
"boesel",18.3333333333333333
"piper",18.3333333333333333
"ambrosio",18.3500000000000000
"ian_scheckter",18.3500000000000000
"cecotto",18.3913043478260870
"karthikeyan",18.4583333333333333
"ball",18.5000000000000000
"larson",18.5000000000000000
"agabashian",18.5000000000000000
"adams",18.5000000000000000
"garrett",18.5000000000000000
"posey",18.5000000000000000
"fitch",18.5000000000000000
"heeks",18.5000000000000000
"georges_berger",18.5000000000000000
"barber",18.5000000000000000
"yamamoto",18.5238095238095238
"caffi",18.6266666666666667
"hesnault",18.6500000000000000
"niday",18.6666666666666667
"haryanto",18.6666666666666667
"montagny",18.7142857142857143
"robarts",18.7500000000000000
"linden",18.8181818181818182
